"BehaviorSpace results (NetLogo 6.0)"
"diffusion.nlogo"
"experiment"
"04/08/2019 21:48:53:577 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","rewiring-proportion","infect-seed-neighbors","number-of-nodes","average-node-degree","threshold-value","[step]","count turtles with [color = green]"
"5","0","true","500","4","1","42","173"
"2","0","true","500","4","1","35","145"
"4","0","true","500","4","1","21","89"
"8","0","true","500","4","1","17","73"
"5","0","true","500","4","1","43","177"
"2","0","true","500","4","1","36","149"
"7","0","true","500","4","1","12","53"
"5","0","true","500","4","1","44","181"
"8","0","true","500","4","1","18","77"
"2","0","true","500","4","1","37","153"
"3","0","true","500","4","1","24","101"
"5","0","true","500","4","1","45","185"
"4","0","true","500","4","1","22","93"
"5","0","true","500","4","1","46","189"
"2","0","true","500","4","1","38","157"
"8","0","true","500","4","1","19","81"
"3","0","true","500","4","1","25","105"
"7","0","true","500","4","1","13","57"
"5","0","true","500","4","1","47","193"
"2","0","true","500","4","1","39","161"
"5","0","true","500","4","1","48","197"
"8","0","true","500","4","1","20","85"
"2","0","true","500","4","1","40","165"
"5","0","true","500","4","1","49","201"
"3","0","true","500","4","1","26","109"
"8","0","true","500","4","1","21","89"
"2","0","true","500","4","1","41","169"
"5","0","true","500","4","1","50","205"
"3","0","true","500","4","1","27","113"
"6","0","true","500","4","1","16","69"
"8","0","true","500","4","1","22","93"
"5","0","true","500","4","1","51","209"
"2","0","true","500","4","1","42","173"
"3","0","true","500","4","1","28","117"
"5","0","true","500","4","1","52","213"
"8","0","true","500","4","1","23","97"
"2","0","true","500","4","1","43","177"
"5","0","true","500","4","1","53","217"
"2","0","true","500","4","1","44","181"
"3","0","true","500","4","1","29","121"
"7","0","true","500","4","1","14","61"
"5","0","true","500","4","1","54","221"
"2","0","true","500","4","1","45","185"
"3","0","true","500","4","1","30","125"
"6","0","true","500","4","1","17","73"
"4","0","true","500","4","1","23","97"
"5","0","true","500","4","1","55","225"
"7","0","true","500","4","1","15","65"
"2","0","true","500","4","1","46","189"
"3","0","true","500","4","1","31","129"
"5","0","true","500","4","1","56","229"
"6","0","true","500","4","1","18","77"
"3","0","true","500","4","1","32","133"
"5","0","true","500","4","1","57","233"
"7","0","true","500","4","1","16","69"
"2","0","true","500","4","1","47","193"
"5","0","true","500","4","1","58","237"
"6","0","true","500","4","1","19","81"
"3","0","true","500","4","1","33","137"
"5","0","true","500","4","1","59","241"
"7","0","true","500","4","1","17","73"
"2","0","true","500","4","1","48","197"
"6","0","true","500","4","1","20","85"
"3","0","true","500","4","1","34","141"
"5","0","true","500","4","1","60","245"
"7","0","true","500","4","1","18","77"
"3","0","true","500","4","1","35","145"
"6","0","true","500","4","1","21","89"
"5","0","true","500","4","1","61","249"
"4","0","true","500","4","1","24","101"
"2","0","true","500","4","1","49","201"
"5","0","true","500","4","1","62","253"
"3","0","true","500","4","1","36","149"
"7","0","true","500","4","1","19","81"
"6","0","true","500","4","1","22","93"
"4","0","true","500","4","1","25","105"
"5","0","true","500","4","1","63","257"
"3","0","true","500","4","1","37","153"
"7","0","true","500","4","1","20","85"
"6","0","true","500","4","1","23","97"
"5","0","true","500","4","1","64","261"
"3","0","true","500","4","1","38","157"
"4","0","true","500","4","1","26","109"
"8","0","true","500","4","1","24","101"
"5","0","true","500","4","1","65","265"
"3","0","true","500","4","1","39","161"
"7","0","true","500","4","1","21","89"
"4","0","true","500","4","1","27","113"
"6","0","true","500","4","1","24","101"
"2","0","true","500","4","1","50","205"
"5","0","true","500","4","1","66","269"
"3","0","true","500","4","1","40","165"
"4","0","true","500","4","1","28","117"
"7","0","true","500","4","1","22","93"
"6","0","true","500","4","1","25","105"
"5","0","true","500","4","1","67","273"
"3","0","true","500","4","1","41","169"
"2","0","true","500","4","1","51","209"
"4","0","true","500","4","1","29","121"
"5","0","true","500","4","1","68","277"
"7","0","true","500","4","1","23","97"
"6","0","true","500","4","1","26","109"
"3","0","true","500","4","1","42","173"
"8","0","true","500","4","1","25","105"
"2","0","true","500","4","1","52","213"
"5","0","true","500","4","1","69","281"
"4","0","true","500","4","1","30","125"
"3","0","true","500","4","1","43","177"
"7","0","true","500","4","1","24","101"
"6","0","true","500","4","1","27","113"
